,game_id,season_type,week,posteam,defteam,play_type,yards_gained,air_yards,yards_after_catch,two_point_conv_result,td_player_name,touchdown,pass_touchdown,rush_touchdown,two_point_attempt,fumble,complete_pass,passer_player_id,passer_player_name,passing_yards,receiver_player_id,receiver_player_name,receiving_yards,rusher_player_id,rusher_player_name,rushing_yards
0,2023_01_ARI_WAS,REG,1,WAS,ARI,run,3.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,00-0037746,B.Robinson,3.0
1,2023_01_ARI_WAS,REG,1,WAS,ARI,pass,6.0,6.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,00-0037077,S.Howell,6.0,00-0037741,J.Dotson,6.0,,,
2,2023_01_ARI_WAS,REG,1,WAS,ARI,run,2.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,00-0038611,C.Rodriguez,2.0
3,2023_01_ARI_WAS,REG,1,WAS,ARI,pass,0.0,10.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,00-0037077,S.Howell,,00-0031260,L.Thomas,,,,
4,2023_01_ARI_WAS,REG,1,WAS,ARI,pass,12.0,12.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,00-0037077,S.Howell,12.0,00-0037741,J.Dotson,12.0,,,
5,2023_01_ARI_WAS,REG,1,WAS,ARI,pass,1.0,-4.0,5.0,,,0.0,0.0,0.0,0.0,0.0,1.0,00-0037077,S.Howell,1.0,00-0033282,C.Samuel,1.0,,,
6,2023_01_ARI_WAS,REG,1,WAS,ARI,pass,0.0,3.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,00-0037077,S.Howell,,00-0031260,L.Thomas,,,,
7,2023_01_ARI_WAS,REG,1,WAS,ARI,pass,2.0,-3.0,5.0,,,0.0,0.0,0.0,0.0,0.0,1.0,00-0037077,S.Howell,2.0,00-0033282,C.Samuel,2.0,,,
8,2023_01_ARI_WAS,REG,1,ARI,WAS,run,-1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,00-0033553,J.Conner,-1.0
9,2023_01_ARI_WAS,REG,1,ARI,WAS,run,6.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,00-0033553,J.Conner,6.0
10,2023_01_ARI_WAS,REG,1,ARI,WAS,pass,6.0,6.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,00-0033949,J.Dobbs,6.0,00-0030061,Z.Ertz,6.0,,,
11,2023_01_ARI_WAS,REG,1,ARI,WAS,pass,0.0,8.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,00-0033949,J.Dobbs,,00-0033251,Z.Pascal,,,,
12,2023_01_ARI_WAS,REG,1,ARI,WAS,pass,-3.0,-4.0,1.0,,,0.0,0.0,0.0,0.0,0.0,1.0,00-0033949,J.Dobbs,-3.0,00-0030061,Z.Ertz,-3.0,,,
13,2023_01_ARI_WAS,REG,1,ARI,WAS,run,5.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,00-0033553,J.Conner,5.0
14,2023_01_ARI_WAS,REG,1,WAS,ARI,pass,6.0,4.0,2.0,,,0.0,0.0,0.0,0.0,0.0,1.0,00-0037077,S.Howell,6.0,00-0031260,L.Thomas,6.0,,,
15,2023_01_ARI_WAS,REG,1,WAS,ARI,run,3.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,00-0036328,A.Gibson,3.0
16,2023_01_ARI_WAS,REG,1,WAS,ARI,pass,3.0,2.0,1.0,,,0.0,0.0,0.0,0.0,0.0,1.0,00-0037077,S.Howell,3.0,00-0037741,J.Dotson,3.0,,,
17,2023_01_ARI_WAS,REG,1,WAS,ARI,run,-1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,00-0037746,B.Robinson,-1.0
18,2023_01_ARI_WAS,REG,1,WAS,ARI,run,6.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,00-0033282,C.Samuel,6.0
19,2023_01_ARI_WAS,REG,1,WAS,ARI,pass,7.0,7.0,0.0,,B.Robinson,1.0,1.0,0.0,0.0,0.0,1.0,00-0037077,S.Howell,7.0,00-0037746,B.Robinson,7.0,,,
20,2023_01_ARI_WAS,REG,1,ARI,WAS,run,4.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,00-0036936,R.Moore,4.0
