Team,Pos,No.,Player 1,No,Player 2,No,Player 3,No,Player 4,No,Player 5
AFC East
AFC East,,,,,,,,,,,
,TE,86,"Kincaid, Dalton 23/1",88,"Knox, Dawson 19/3",85,"Morris, Quintin CF21",84,"Davidson, Zach SF22",83,"McKitty, Tre' SF23"
,TE,81,"Smythe, Durham 18/4",9,"Smith, Jonnu CC/Atl",89,"Hill, Julian CF23",88,"Fortson Jr., Jody U/KC",80,"Conner, Tanner CF22"
,TE,,,,,,,,,49,"Rucci, Hayden CF24"
,TE,85,"Henry, Hunter U/LAC",81,"Hooper, Austin U/LV",88,"Bell, Jaheim 24/7",87,"Wilcox, Mitchell U/Cin",46,"Pettway, La'Michael SF23"
,TE,,,,,,,,,45,"Warren, Jacob CF24"
,TE,83,"Conklin, Tyler U/Min",89,"Ruckert, Jeremy 22/3",88,"Yeboah, Kenny CF21",81,"Kuntz, Zack 23/7",47,"Sefcik, Lincoln CF24"
,TE,,,,,,,48,"Firkser, Anthony U/Det",46,"Johnson, Neal SF24"
AFC North
AFC North,,,,,,,,,,,
,TE,89,"Andrews, Mark 18/3",80,"Likely, Isaiah 22/4",88,"Kolar, Charlie 22/4",35,"Rigerman, Mike CF24",84,"Sharp, Riley CF24"
,TE,,,,,,,85,"Washington, Scotty SF23",83,"Ismail, Qadir CF24"
,TE,88,"Gesicki, Mike U/NE",89,"Sample, Drew 19/2",87,"Hudson, Tanner SF22",83,"All Jr., Erick 24/4",84,"McLachlan, Tanner 24/6"
,TE,,,,,,,,,85,"Grandy, Cam CF24"
,TE,85,"Njoku, David 17/1",88,"AKINS, JORDAN U/Hou",83,"Mitchell-Paden, Zaire CF22",44,"Ricci, Giovanni U/Car",82,"Welch, Treyton CF24"
,TE,88,"Freiermuth, Pat 21/2",80,"Washington, Darnell 23/3",83,"Heyward, Connor 22/6",81,"PRUITT, MYCOLE U/Atl",87,"Williams, Rodney SF23"
,TE,,,,,,,,,49,"Sokol, Matt SF24"
AFC South
AFC South,,,,,,,,,,,
,TE,86,"Schultz, Dalton U/Dal",9,"Jordan, Brevin 21/5",87,"Stover, Cade 24/4",84,"Quitoriano, Teagan 22/5",40,"Keene, Dalton SF23"
,TE,83,"Granson, Kylen 21/4",81,"ALIE-COX, MO SF17",85,"Ogletree, Drew 22/6",80,"Woods, Jelani 22/3",49,"TOMLINSON, ERIC SF23"
,TE,,,,,,,86,"Mallory, Will 23/5",84,"Murray, Jordan SF23"
,TE,17,"Engram, Evan U/NYG",89,"Farrell, Luke 21/5",85,"Strange, Brenton 23/2",81,"Deguara, Josiah U/GB",49,"Bowman, Shawn CF24"
,TE,,,,,,,88,"Murtagh, Patrick IPP",38,"Myarick, Chris SF24"
,TE,85,"Okonkwo, Chigoziem 22/4",81,"Whyle, Josh 23/5",84,"VANNETT, NICK U/LAC",89,"Odukoya, Thomas IPP",88,"Martin-Robinson, David CF24"
,TE,,,,,,,,,86,"Stilianos, Steven CF24"
AFC West
AFC West,,,,,,,,,,,
,TE,82,"Trautman, Adam T/NO",80,"Dulcich, Greg 22/3",85,"Krull, Lucas SF23",45,"Adkins, Nate CF23",86,"Yassmin, Thomas IPP"
,TE,,,,,,,,,84,"Kampmoyer, Hunter SF24"
,TE,87,"KELCE, TRAVIS 13/3",83,"Gray, Noah 21/5",12,"Wiley, Jared 24/4",82,"Smith, Irv U/Cin",47,"Cupp, Baylor CF24"
,TE,,,,,,,,,85,"Spivey, Geor'Quarius CF24"
,TE,89,"Bowers, Brock 24/1",87,"Mayer, Michael 23/2",84,"Bryant, Harrison U/Cle",88,"Gentry, Zach P/Cin",85,"Fotheringham, Cole CF22"
,TE,,,,,,,,,86,"Shenker, John Samuel CF23"
